url_length,num_dots,has_ip,has_at,prefix_suffix,subdomain_count,https_in_domain,entropy,kw_login,kw_secure,kw_update,kw_verify,kw_bank,kw_account,kw_signin,kw_password,label
31.0,3.0,0.0,0.0,0.0,1.0,0.0,3.4613201402110088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24.0,2.0,0.0,0.0,0.0,0.0,0.0,3.378783493486176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
142.0,14.0,0.0,0.0,0.0,13.0,0.0,4.397302258774971,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
76.0,2.0,0.0,0.0,0.0,0.0,0.0,3.6901165175936654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25.0,2.0,0.0,0.0,0.0,1.0,0.0,3.077819531114783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31.0,2.0,0.0,0.0,0.0,1.0,0.0,3.6219280948873624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
109.0,1.0,0.0,0.0,0.0,0.0,0.0,3.1898980954642875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40.0,1.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18.0,2.0,0.0,0.0,0.0,1.0,0.0,2.6258145836939115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
64.0,2.0,0.0,0.0,0.0,0.0,0.0,3.175123135113461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,1.0,0.0,0.0,0.0,0.0,0.0,2.2516291673878226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.0,3.0,0.0,0.0,0.0,1.0,0.0,3.238901256602631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
46.0,2.0,0.0,0.0,0.0,0.0,0.0,3.1219280948873624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
52.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0220552088742005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
83.0,1.0,0.0,0.0,0.0,0.0,0.0,2.9219280948873623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
64.0,2.0,0.0,0.0,0.0,0.0,0.0,3.2195282822995477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2516291673878226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0850551027564768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34.0,3.0,0.0,0.0,0.0,1.0,0.0,3.5944656369614525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
37.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8208888513501886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33.0,2.0,0.0,0.0,0.0,1.0,0.0,3.202819531114783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
60.0,1.0,0.0,0.0,0.0,0.0,0.0,3.6304126608739984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40.0,1.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21.0,1.0,0.0,0.0,0.0,0.0,0.0,3.521928094887363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.0,3.0,0.0,0.0,1.0,2.0,0.0,3.8565647621309544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
86.0,2.0,0.0,0.0,0.0,0.0,0.0,3.084962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73.0,1.0,0.0,0.0,0.0,0.0,0.0,2.6464393446710157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56.0,1.0,0.0,0.0,0.0,0.0,0.0,2.725480556997868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33.0,4.0,0.0,0.0,1.0,2.0,0.0,3.4464393446710155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3660913291191927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0220552088742005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91.0,1.0,0.0,0.0,0.0,0.0,0.0,2.721928094887362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
371.0,3.0,0.0,0.0,1.0,1.0,0.0,4.480524762900187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
38.0,3.0,0.0,0.0,1.0,0.0,0.0,3.6818808028034034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,1.0,0.0,0.0,0.0,0.0,0.0,3.169925001442312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30.0,2.0,0.0,0.0,0.0,0.0,0.0,3.748994803525097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45.0,1.0,0.0,0.0,0.0,0.0,0.0,3.277613436819116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.0,1.0,0.0,0.0,0.0,0.0,0.0,3.095795255000934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
110.0,2.0,0.0,0.0,0.0,0.0,0.0,3.039148671903071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
77.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3248629576173565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
161.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3735572622751855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25.0,1.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36.0,2.0,0.0,0.0,0.0,0.0,0.0,3.5110854081804277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28.0,2.0,0.0,0.0,0.0,0.0,0.0,3.1820058147602137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28.0,2.0,0.0,0.0,0.0,1.0,0.0,3.9302703722934536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71.0,3.0,0.0,0.0,0.0,1.0,0.0,3.584183719779189,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
68.0,3.0,0.0,0.0,0.0,1.0,0.0,3.2998963911678914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20.0,1.0,0.0,0.0,0.0,0.0,0.0,4.037401197654112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38.0,2.0,0.0,0.0,0.0,1.0,0.0,3.818588646061332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
137.0,7.0,0.0,0.0,0.0,1.0,0.0,3.1820058147602137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
